Name,Type,One Liner,Industry,Website,Description,Business Model,Mega-trend,Driver,Value Chain Position,Stack Position,Theme,Focus Area,Opportunity Space- OLD,Tagged Opp Space?,Opp Space (V1),Final Opp Space,Founded,Employees,Country,City,Location,Funded,Funding Stage,Latest Funding Date,Latest Funding (USD),Total Funding (USD),Maturity,Fast Growth (Y/N),Relevance,Owner,Checked,Inc. Radar,Hero,BHG Partnered,OLD - Focus Areas,OLD - Opp Space,Input,RM Relationship,Comments,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Result,0.3,0.5,0.2,Text to no.conversion,Rnd,Contact - Email,Contact - LinkedIn
portchain,Startup,"Portchain is an online cloud-based SaaS platform which provides port operators with vessel scheduling and terminal resource management. The solution consists of two parts, Port Call Plan and Berth Optimization. Port Call Plan provides real-time updates regarding vessel schedules. Berth Optimization Engine allows terminal operators to manage their port resources efficiently and helps in reducing labor costs through the intelligent vessel and crane allocations.",Maritime,https://portchain.com,Portchain's AI planning solutions maximize utilization and capacity for terminals and carriers. We focus on solving the hardest planning problems in shipping. ,"Logistics Tech > Freight > Software Solutions > Terminal Operation
 Maritime Tech > Shipping and Port Management > Port Management",,,,,Data Utilisation,Intelligent & Autonomous Shipping,,,Deprioritised,Deprioritised,2017,11-50,Denmark,Copenhagen,Europe,No,Unfunded,,,,Nascent,,1,,,TRUE,TRUE,TRUE,AI Enabled Prediction,Trade Data Analytics,Old,SCR,,0.5,0,1,0.35,Nascent,,,,,18832,"Anders@portchain.com
 Niels@portchain.com
 Thor@portchain.com","http://linkedin.com/in/andersolivarius
 http://linkedin.com/in/nhkristiansen
 http://linkedin.com/in/thor-thorup-06708132"
"Semantics3",,,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software",https://www.semantics3.com/industries/logistics,Provider of AI and cloud-based platform for eCommerce and logistics industry,,,,,,Data Utilisation,Price Optimisation,,Yes,Automated pricing (Merged with commercial modelling),Intelligent Pricing,2012,,USA,,,Yes,Seed,,,"2,150,000",,,,Nour,,TRUE,FALSE,FALSE,,,New,,,,,,,,,,,,,mike.neal@decisionnext.com,http://linkedin.com/in/mike-neal-89750
RateBoard,Startup,Automated price optimisation for hotels & resorts of all sizes!,"Software, Travel and Tourism",https://www.rateboard.io,Rateboard: a Revenue Management Software designed for small to mid sized hotels. Its design promotes ease of use through its simplicity and clarity for everyone.,,,,,,Data Utilisation,Price Optimisation,Revenue Management,Yes,Automated pricing (Merged with commercial modelling),Intelligent Pricing,2015,11-50,Austria,,Europe,Yes,Seed,06/06/2018,"1,531,586","2,066,461",Nascent,,,Miles,Yes,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,43780,"harish@datatron.io
 jerry@datatron.io","http://linkedin.com/in/harishd
 http://linkedin.com/in/jerryxu"
Transmetrics,Startup,Big Data predictive analytics cloud solution,Maritime,https://transmetrics.eu/,"Transmetrics helps freight companies to predict future volume of shipments for the next 2-6 weeks, which enables companies to eliminate empty capacity before it occurs. This leads to multi-million savings and on top of that reduces the amount of CO2 emissions produced, lowers the amount of fossil fuels used by the transport industry, reduces traffic on the roads and lowers prices for freight shipments. Transmetrics’ prediction approach is based on advanced statistical methods, machine learning and data mining algorithms. Its pricing follows monthly pay-as-you go model with companies paying only for what they actually use in prediction.",,,,,,Data Utilisation,Intelligent Sourcing,Demand forecasting,,,Predicting Supply & Demand,2013,11-50,Bulgaria,Sofia,Europe,Yes,Seed,,,"2,000,000",Nascent,,,Vish,Yes,TRUE,,TRUE,Physical Process Enhancement,Container logistics optimisation,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,49881,info@freightreport.net,
MarginFuel,Startup,MarginFuel provides intelligent price optimisation software for rental vehicle operators.,Software,https://www.marginfuel.com,AI-enabled price optimization solutions for car rental operators,,,,,,Data Utilisation,Price Optimisation,Pricing Software,Yes,Automated pricing (Merged with commercial modelling),Intelligent Pricing,2014,101-250,New Zealand,,Global,Yes,Seed,01/02/2020,,"839,068",Nascent,,,Miles,Yes,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,6095,henning.voss@portrix-ls.de,http://linkedin.com/in/hvoss
Maritime Optima,Startup,"Maritime Optima is a cloud-based operational management software for maritime operators. The software connects various stakeholders (ship owners, operators, & traders) and provides collaborative operational management and descision support functionalities. Covers aspects such as real-time ship/port information, BI & competitor tracking, voyage planning & estimates, and carbon footprint calculation among others.",Maritime,https://maritimeoptima.com,"Maritime Optima is a cloud-based operational management software for maritime operators. The software connects various stakeholders (ship owners, operators, & traders) and provides collaborative operational management and descision support functionalities. Covers aspects such as real-time ship/port information, BI & competitor tracking, voyage planning & estimates, and carbon footprint calculation among others.","ERP > Maritime
 Logistics Tech > Freight > Software Solutions > Maritime > Ship Management
 Maritime Tech > Shipping and Port Management > Shipping Management > Vessel Monitoring",,,,,Digital Trading,Intelligent Sourcing,Operations Connectivity,Yes,Predicting supply & demand,Predicting Supply & Demand,2018,11-50,Norway,Oslo,Europe,No,Unfunded,,,,Nascent,,2,,,TRUE,TRUE,FALSE,AI Enabled Prediction,Trade Data Analytics,Old,SCR,Collaboration software for maritime charters,0.5,0,1,0.35,Nascent,,,,,135,"simen@maritimeoptima.com
 bjarte@maritimeoptima.com
 kristin@maritimeoptima.com","https://linkedin.com/in/simenojensen
 https://linkedin.com/in/bjarte-klyve-larsen-2b666095
 https://linkedin.com/in/kristin-omholt-jensen-b310a83a"
Parade,Startup,"Parade is a big data and AI-based technology solution for transportation companies to streamline their operations. Platform uses real-time and historical data to optimize communication, decision-making, and freight bookings. Platform can be integrated with existing TMS. Drivers can share their location, report delays, and upload documents in real-time through the platform. They started as an online brokerage platform and pivoted to software platform in August 2016.",Adjacent,https://www.parade.ai/products/logistics/freight-matching,"Parade is a big data and AI-based technology solution for transportation companies to streamline their operations. Platform uses real-time and historical data to optimize communication, decision-making, and freight bookings. Platform can be integrated with existing TMS. Drivers can share their location, report delays, and upload documents in real-time through the platform. They started as an online brokerage platform and pivoted to software platform in August 2016.","Business Intelligence > BI Verticals > Industry Specific > Travel and Transportation
 Logistics Tech > Freight > Software Solutions > Analytics > Fleet Utilization",,,,,Data Utilisation,Market Intelligence,,,Trade Analytics,Global Trade Analytics,2015,,USA,Los Angeles,Global,Yes,,,,,Nascent,,2,,,FALSE,TRUE,FALSE,AI Enabled Prediction,Trade Data Analytics,Old,,"Under Freight Matching , they have a pricing analytics feature. Worth looking at. Only for trucking fleets?",0.5,0.66,0,0.48,Nascent,,,,,14289,"anthony@parade.ai
 preet@parade.ai
 tony@parade.ai","http://linkedin.com/in/anthonysutardja
 http://linkedin.com/in/sivia
 http://linkedin.com/in/twutonywu"
SeaWorthy Inspections,Startup,Provides boat inspection service,Unrelated,https://seaworthyinspections.com.au,SeaWorthy Inspections provides boat inspection service. The inspections are performed on all trailer boats and marina vessels by the inspectors that will demonstrate if the boat is or is not compliant with safety marine standards. It has a team of technicians who are thoroughly trained to conduct inspections and provide a comprehensive and detailed report demonstrating the functionality of all aspects of boat customers wants to buy.,Maritime Tech > Shipping and Port Management > Shipping Management > Inspection > Tech Enabled Services,,,,,New Customer Services,Vessel Services,Boat inspection,,,,2019,1-10,Australia,,Global,No,Unfunded,,,,Nascent,,,Vish,Yes,TRUE,,FALSE,"Infrastructure, Vessel & Asset efficiency",Equipment Management,Old,Decarb,non tech,0.5,0,1,0.35,Nascent,,,,,19736,,
Work Ship,Startup,Fleet compliance management software provider,Maritime,https://work-ship.com,"Work Ship is a fleet compliance management software provider. It offers features such as real-time notifications, planners, data security, quality management, stakeholders protective alerts, audit monitoring, and deviations analysis management.","GRC Software > Compliance > Industry > Marine
 Maritime Tech > Shipping and Port Management > Shipping Management > Compliance > Crew Work and Rest Hours",,,,,New Customer Services,Vessel Services,Fleet Management,,,,2016,1-10,India,,Global,No,Unfunded,,,,Nascent,,,Vish,Yes,TRUE,,FALSE,"Infrastructure, Vessel & Asset efficiency",Equipment Management,Old,Decarb,Compliance,0.5,0,1,0.35,Nascent,,,,,43671,,
Bubo.AI,Startup,Bubo.AI is a provider of a price optimisation platform.,"Artificial Intelligence, Data and Analytics, Professional Services, Science and Engineering, Software",https://www.bubo.ai/,"Bubo.AI is a provider of a price optimisation platform. Bubo.AI provides a platform that uses artificial intelligence (AI) to analyze customers‚Äô behaviour to understand what they are willing to pay, then recommends the optimum price to sales staff.",,,,,,Data Utilisation,Price Optimisation,Automated Pricing,Yes,Automated pricing (Merged with commercial modelling),Intelligent Pricing,2019,1-10,United Kingdom,,Europe,Yes,Seed,17/06/2020,"815,732","815,732",Nascent,,,Miles,Yes,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,9023,"thomas.jesewski@aifora.com
 david.krings@aifora.com","https://linkedin.com/in/jesewski
 https://linkedin.com/in/david-krings-00992b141"
Linear Squared,Startup,"Linear Squared is a provider of cloud and AI-based demand forecasting and planning software. Its features include inventory and distribution optimisation, resource allocation planning, automated capacity planning, and elimination of out of stock situations. It caters to multiple sectors, like grocery retail and the apparel industry.",Adjacent,https://linearsquared.com/,"Linear Squared is a provider of cloud and AI-based demand forecasting and planning software. Its features include inventory and distribution optimisation, resource allocation planning, automated capacity planning, and elimination of out of stock situations. It caters to multiple sectors, like grocery retail and the apparel industry.",SCM Software > Planning & Analytics > Operations Planning,,,,,Data Utilisation,Market Intelligence,,,Trade Analytics,Global Trade Analytics,2015,,Sri Lanka,Colombo,Global,No,Unfunded,,,Not Applicable,Nascent,,3,,,FALSE,TRUE,FALSE,AI Enabled Prediction,Retail Demand Sensing,Old,SCR,,0.5,0,0,0.15,Nascent,,,,,36182,"mohit@google.com
 sankha@linearsquared.com
 rajith@linearsquared.com","https://linkedin.com/in/mohitpande
 https://linkedin.com/in/sankha-muthu-poruthotage
 https://linkedin.com/in/rajith-munasinghe-95533776"
Logyc,Startup,,Adjacent,www.logyc.co,Enterprise Artificial Intelligence Company,,,,,,Data Utilisation,Price Optimisation,Product Cost modelling,,Automated pricing (Merged with commercial modelling),Intelligent Pricing,2016,11-50,USA,,Global,No,Unfunded,,,,Nascent,,,Vish,Yes,TRUE,,FALSE,,,Old,,,0.5,0,1,0.35,Nascent,,,,,37559,cpierre@wiremind.io,"https://linkedin.com/in/charles-pierre-423b1066
 https://linkedin.com/in/colin-girault-matz-5a176792"
SeaVantage,Startup,,Maritime,https://www.seavantage.com/,"Provider of maritime data platform. The company offers a maritime traffic network, predicted time of arrival, and port analysis and weather algorithm. It also provides a tracking system that can track the location of cargo and lookup predicted arrival information.",,,,,,Data Utilisation,Intelligent & Autonomous Shipping,,,Deprioritised,Deprioritised,2018,1-10,South Korea,,Global,No,Seed,,,,Nascent,,,,,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,46378,,
Shenzhen Smart Ocean Technology,Startup,Provider of underwater communication solution,Unrelated,https://smartoceantech.com,"Smart Ocean Technology is a provider of the underwater communication solution. The products offered by the company are underwater acoustic network modem, underwater acoustic communication network system, and underwater acoustic communication module.",Maritime Tech > Marine Electronics > Communication,,,,,New Customer Services,Vessel Services,Acoustic vessel communication,,,,2016,1-10,China,,Global,Yes,Undisclosed,,,,Nascent,,,Vish,Yes,TRUE,,FALSE,"Infrastructure, Vessel & Asset efficiency",Equipment Management,Old,Decarb,,0.5,0,1,0.35,Nascent,,,,,33270,,
"Metis",Corporate Venture,,Maritime,https://www.metis.tech/,Ship performance management solution,,,,,,New Customer Services,Vessel Services,Vessel Monitoring,Yes,Monitoring Fuel Consumption,Monitoring Fuel Consumption,2016,51-200,Greece,,Europe,Yes,Acquired,,,,Emerging,,,Miles,,TRUE,FALSE,FALSE,,,New,,,0.5,0.66,1,0.68,Emerging,,,,,15840,,
Forssea Robotics,Startup,,Adjacent,https://forssea-robotics.fr/,Designs and manufactures autonomous subsea solutions for the offshore industries,,,,,,New Customer Services,Vessel Services,Vessel Monitoring,Yes,Remote Inspection,Deprioritised,2016,11-50,France,,Europe,Yes,Series A,,,"3,350,000",Emerging,,,Miles,Yes,FALSE,FALSE,FALSE,,,New,,,0.5,0.33,1,0.515,Emerging,,,,,19778,,
"Fifish",Startup,,Adjacent,https://www.qysea.com/,"Fifish is an unmanned underwater robot. It does ocean exploration and helps in marine research, and the product is available for both individuals and industries.",,,,,,New Customer Services,Vessel Services,Vessel Monitoring,Yes,Remote Inspection,Deprioritised,2016,11-50,China,,Global,Yes,Seed,,,"1,800,000",Nascent,,,Miles,Yes,FALSE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,39607,,
"Cathx Ocean",Startup,,Adjacent,https://cathxocean.com/,"Developer of lighting, imaging, and machine vision tools for subsea imaging",,,,,,New Customer Services,Other,Vessel Monitoring,Yes,,Deprioritised,2009,11-50,Ireland,,Europe,Yes,Series A,,,"2,960,000",Emerging,,,Miles,Yes,FALSE,FALSE,FALSE,,,New,,,1,0.33,1,0.665,Emerging,,,,,25207,,
Twill,Corporate Venture,Tech-enabled freight forwarder,Maritime,https://www.twill.net,"Twill is a tech-enabled freight forwarder. Offers an online platform and enables customers to get instant quotes, book & track freight shipments on the platform. Offers tech-enabled services for FCL (Full Container Load) and port-to-door shipping. Offers a back-end platform for users to manage operations centrally, with features such as analytics, reporting, real-time shipment tracking, document management, and more. Clients include YJ Europe, PJA, Savisto among others.",,,,,,Digital Trading,Online Marketplace,,,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2017,51-200,Netherlands,The Hague,Europe,Yes,Undisclosed,,,,Nascent,,,,,TRUE,,FALSE,Business Model Innovation,Freight Orchestration,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,6185,,
"ScanTainr",Startup,,adjacent,https://scantainr.com/ctr/,Provider of AI-based container damage inspection solutions,,,,,,New Customer Services,Vessel Services,damage detection,Yes,Remote Inspection,Deprioritised,2020,1-10,Netherlands,,Europe,No,Unfunded,,,,Nascent,,,,,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,45696,,
Uptake,Startup,"Uptake is an AI-based asset management solution for multiple industries. The features of the product include failure prediction, noise filtering, situational analytics, identifying a change in operational behaviour, etc. The product is offered for industries such as mining, construction, fleet, manufacturing, aviation, government, oil & gas, etc.",Adjacent,https://uptake.com,"Uptake is an AI-based asset management solution for multiple industries. The features of the product include failure prediction, noise filtering, situational analytics, identifying a change in operational behaviour, etc. The product is offered for industries such as mining, construction, fleet, manufacturing, aviation, government, oil & gas, etc.","Big Data Analytics > Industry Solutions > Heavy Industries > Predictive
 Manufacturing Tech > Maintenance Management > Predictive Maintenance
 Mining Tech > Operations > Asset Maintenance
 Vertical Business Intelligence > Industry Specific > Heavy Industries
 Internet of Things Infrastructure > IoT Platforms > Analytics Platforms > Cloud Analytics
 Industrial Internet of Things > Multi Industries > Analytics
 Logistics Tech > Freight > Software Solutions > Analytics > Fleet Utilization
 Rail IT > Maintanance > Fleet Monitoring
 Plug and Play Tech Center Batches > Internet of Things > Batch 9",,,,,Data Utilisation,Intelligent & Autonomous Shipping,,,Deprioritised,Deprioritised,2014,201-500,USA,Chicago,Global,Yes,Series D,43252,Undisclosed,"282,259,980",Mature,,1,Miles,,TRUE,TRUE,FALSE,Agile and adaptive logistic network,Predictive Maintinance,Old,SCR,Series D predictive maintinance . no use case on vessels but other transport means are onboard.,0.5,0.66,1,0.68,Mature,,,,,47197,"lefkofskyeric@gmail.com
 lefkofsky.eric@gmail.com
 eric.lefkofsky@uptake.com
 brad.keywell@uptake.com","https://linkedin.com/in/ericlefkofsky
 https://linkedin.com/in/bradkeywell"
Urbanbase,Startup,3-D virtual staging of buildings,,https://urbanbase.com,"Urbanbase, earlier known as HUD Inc, has developed a technology to render 3D virtual staging of buildings by simply using floor plans. They utilize algorithmic modeling instead of other methods such as using panoramic cameras or by generating an image of the complete building. A user can even design the interior of its house by placing and moving the desired furniture from one room to the other. Uses spatial data to implement digital twin and smart city and is the basis for reinterpreting the value of space and creating a new technology ecosystem.","Digital Twin > Development Tools > Modelling
 Construction Tech > Design Tools > BIM and 3D Modelling > Authoring",,,,,Data Utilisation,Intelligent & Autonomous Shipping,,,Deprioritised,Deprioritised,2013,11-50,South Korea,,Global,Yes,Series A,,,"5,100,000",Emerging,,2,Hazel,Yes,TRUE,,FALSE,"Infrastructure, Vessel & Asset efficiency",Equipment Management,Old,Decarb,Buildings,0.5,0.33,1,0.515,Emerging,,,,,45085,,http://linkedin.com/in/jinu-ha-56482577
uShip,,Global online logistics transport marketplace,Logistics,https://www.uship.com,"uShip is an online marketplace for freight, household goods and vehicle shipping. It connects consumers and businesses with thousands of customer-reviewed carriers that often have empty truck space either through its offer-based marketplace or instant-rate LTL marketplace. Individuals and businesses post items they need to be shipped and transportation service providers on uShip place bids for the right to haul a customer's shipment. Charges a commission from carriers on every job they complete.",,,,,,Digital Trading,Online Marketplace,,,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2004,201-500,USA,Austin,Global,Yes,Series D,,,"69,700,000",Mature,,,Miles,Yes,TRUE,,FALSE,Data & AI,Fleet Utilization,Old,General Scouting,,1,0.66,1,0.83,Mature,,,,,14980,,
UUUO,,,Shipping,http://uuuo.co.jp,UUUO is a development and operation of the UUUO fishery market connected by smartphones.,,,,,,Digital Trading,Digital Bunker Trading,Direct to market fish purchase,,Digital trading operations (merged with trade execution),Digital Trading Operations,2016,1-10,Japan,,Global,Yes,Seed,,,"1,130,923",Nascent,,,Miles,Yes,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,45570,,
Vakt Global,Startup,,Finance,http://vakt.com,"VAKT is establishing a digital ecosystem for physical post-trade processing. Leveraging blockchain technologies, it will become a single source of the truth for the trade lifecycle. It will eliminate reconciliation and paper-based processes, enhance efficiency and create new trade finance opportunities. ",,,,,,Digital Trading,Digital Bunker Trading,Digital post trade processing,,Digital trading operations (merged with trade execution),Digital Trading Operations,2018,51-200,United Kingdom,,Europe,Yes,Series A,,,"10,000,000",Emerging,,,,,TRUE,FALSE,FALSE,,,Old,,,0.5,0.33,1,0.515,Emerging,,,,,1860,,
VCC,Startup,,Shipping,https://www.vcargocloud.com/,vCargo Cloud (VCC) provides software solutions for logistics and global trade management. Offers 'CamelOne' - a collaborative platform for international trade compliance and documentation. ,,,,,,Data Utilisation,Automating Compliance,,,Deprioritised,Deprioritised,2009,51-200,Singapore,,Global,Yes,Seed,,,,Emerging,,,,,TRUE,FALSE,FALSE,,,New,,,1,0,1,0.5,Emerging,,,,,24993,,
Vector.ai,Startup,,Shipping,https://www.vector.ai/,AI-enabled document management solution for the logistics industry,,,,,,Data Utilisation,Automating Compliance,,,Deprioritised,Deprioritised,2017,11-50,United Kingdom,,Europe,Yes,Seed,,,"400,000",Nascent,,,,,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,16211,,
Glidecoat,Startup,Developer of nano-ceramic coating products,Adjacent,https://glidecoat.com,"Glidecoat (trademark of Onan Technologies) develops nano-ceramic coating products. Its products are available for the automotive and marine industries. Glidecoat Auto is a UV resistant coating that provides surface protection to automotive vehicles. Its features include scratch resistant, haze and oxidation removal, UV protection, ice and snow adhesion repulsion, and claims to have better aerodynamics. Its product for the marine industry is an anti-fouling coating for running gears and propellers. It claims that its technology creates a smooth surface that does not allow marine organisms to grow thus providing improved maintenance.",Nanotechnology > Nanointermediates > Nanocoating > Self Cleaning,,,,,New Customer Services,Vessel Services,Vessel surface protection,Yes,,,2012,1-10,USA,,Global,No,Unfunded,,,,Nascent,,3,Hazel,Yes,TRUE,,FALSE,"Infrastructure, Vessel & Asset efficiency",Equipment Management,Old,Decarb,for yatcht,0.5,0,1,0.35,Nascent,,,,,35795,paul@glidecoat.com,http://linkedin.com/in/paulwesthorpe
Intuitive Coatings,Startup,Developer of surface protection coatings,Maritime,https://intuitivecoatings.com,"Intuitive Coatings develops surface protection coatings. It claims to be durable, resistant to corrosion, UV resistant, chemical resistant, and abrasion/temperature resistant. The company holds its own Intellectual Property rights for its product development and manufacturing. Its nano additive paint claims to improve the performance of the product. The coatings have application in residential property, commercial property, industrial equipment, public spaces, automotive, marine, etc. It claims to be the only developer of acid resistant sealer on the market.","Nanotechnology > Nanointermediates > Nanoadditives
 Chemicals Tech > Advanced Chemicals > Nano Additives",,,,,New Customer Services,Vessel Services,Vessel surface protection,Yes,,,2012,1-10,USA,,Global,No,Unfunded,,,,Nascent,,3,Hazel,Yes,TRUE,,FALSE,"Infrastructure, Vessel & Asset efficiency",Equipment Management,Old,Decarb,,0.5,0,1,0.35,Nascent,,,,,49795,"lfennerici@gmail.com
 libby@intuitivecoatings.com",http://linkedin.com/in/libby-fenner-268b9516
Veson Nautical,Startup,Software solutions for maritime industries,Maritime,https://veson.com/,"Veson Nautical is the provider of commercial maritime software for vessel owners, charterers, and operators. Their solutions include software offerings for voyage estimation, performance reporting, bunker management, laytime calculation, freight trading, and ship-to-shore communications. The company has two primary solutions: IMOS is the enterprise software solution providing business intelligence by analysing a constant flow of data; and VesLink, a tool for automated data entry for vehicles.",,,,,,New Customer Services,Vessel Services,,,Route Optimisation (merged with Vessel Tracking),Bunker Planning,2003,51-200,USA,Boston,Global,Yes,Undisclosed,,,,Emerging,,,,,TRUE,,FALSE,Smart Ports,4.2 Fleet management,Old,General Scouting,,1,0,1,0.5,Emerging,,,,,4,,
State of The Art Applications,Startup,Provider of hybrid (blends of organic and inorganic nanoparticles) nanocoatings,Maritime,https://sotacoatings.com,"State of The Art (SOTA) Applications is a provider of hybrid (blends of organic and inorganic nanoparticles) nanocoatings. Develops protective coatings which are water based, oleophobic, and stain, contaminant, and water repellent. Target inductries include textile, automotive, construction, marine, solar, and manufacturing.",Nanotechnology > Nanointermediates > Nanocoating > Self Cleaning,,,,,New Customer Services,Vessel Services,Vessel surface protection,Yes,,,2012,1-10,USA,,Global,No,Unfunded,,,,Nascent,,3,Hazel,Yes,TRUE,,FALSE,"Infrastructure, Vessel & Asset efficiency",Equipment Management,Old,Decarb,cant gauge track record,0.5,0,1,0.35,Nascent,,,,,2505,,
VesselFinder,,AIS vessel data solutions,Maritime,https://www.vesselfinder.com,"The products include Movement reports for AIS data on ship positions; Traffic density analysis for trends in specific port/area; Video simulation for video playback of vessel movements; Port Calls and event tracking for ship tracking. The price is based on the data quantity, frequency and additional processing required. They offer an application available on android and iOS platform.",,,,,,Data Utilisation,Market Intelligence,,,Route Optimisation (merged with Vessel Tracking),Bunker Planning,2012,1-10,Bulgaria,Sliven,Europe,No,Unfunded,,,,Nascent,,,,,TRUE,,FALSE,Data & AI,Port-Side Analytics,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,28969,,
"VesselsValue",Startup,,Maritime,https://www.vesselsvalue.com/,"Provider of SaaS-based analytics, tracking and data for marine vessels",,,,,,Data Utilisation,Market Intelligence,,,Cargo Tracking,Cargo Tracking,2008,1-10,United Kingdom,,Europe,No,Unfunded,,,,Emerging,,,Miles,,TRUE,,,,,New,,,1,0,1,0.5,Emerging,,,,,13226,,
Voyager,Startup,,Maritime,https://www.voyagerportal.com/,Workflow management solutions for the maritime shipping industry,,,,,,New Customer Services,Vessel Services,Vessel Management,Yes,Vessel and Fleet Management,Deprioritised,2018,1-10,USA,,Global,Yes,Seed,,,"1,800,000",Nascent,,,Miles,,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,6437,,
Sea Live,Startup,,Maritime,https://www.sea.live/,"Sea Live offers software for maritime shipping. The platform enables brokers, charterers, operators, owners, and traders to manage freight transactions. The modules include Sea/net, Sea/chat, Sea/contracts, Sea/gateway, and Sea/response. Sea/net tracks vessels, Sea/chat offers communication for the company, Sea/contract managers dynamic document management, Sea/gateway offers performance analysis tools, and Sea/response allows the vessel to react to an emergency.",,,,,,Data Utilisation,Market Intelligence,Vessel Management,Yes,Inquiry Management,Intelligent Pricing,2016,1-10,United Kingdom,,Europe,No,Unfunded,,,,Nascent,,,Miles,,TRUE,FALSE,TRUE,,,New,,,0.5,0,1,0.35,Nascent,,,,,24809,,
"Vizion",Startup,,Maritime,https://vizionapi.com/,"Provider of cloud-based API for marine container, bill of lading and shipment tracking",,,,,,Data Utilisation,Intelligent & Autonomous Shipping,Vessel Tracking,Yes,Deprioritised,Deprioritised,2018,1-10,USA,,Global,Yes,Undisclosed,,,"1,200,000",Nascent,,,Miles,,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,38075,,
"Trusted Docks",Startup,,Maritime,https://www.trusteddocks.com/,"Trusted Docks is an online platform that connects ship owners with shipyards for maintenance & repair, intermediate survey docking or scrapping project. Users can find a shipyard in their current or prospective trading area of vessel.",,,,,,Digital Trading,Online Marketplace,Maintenance planning,Yes,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2018,1-10,Germany,,Europe,Yes,Undisclosed,,,,Nascent,,,Miles,,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,2453,,
"TangoTrade",,,adjacent,https://tangotrade.com/,"TangoTrade is a software payment solution for freight forwarders. The integrated platform consists of application layer, API layer, and platform layer that includes services like financing, transaction management, shipment tracking, and payment transfer.",,,,,,New Customer Services,Financial Services,Digital payment assurance,,Payment Solutions,Payment Solutions,2018,1-10,USA,,Global,Yes,Seed,,,,Nascent,,,Vish,Yes,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,39319,,
Pearl Nano,Startup,Nanotechnology-based hydrophobic coating solutions,Unrelated,https://pearlnano.com,"Pearl Nano provides nanotechnology-based hydrophobic coating solutions. It reacts with a substrate surface and forms an “abrasion resistant” coating with extremely high bonding properties. This generates a thin, optically transparent coating, with high impact strength. Includes a range of solutions for glass, heavy duty wheel &amp; marine coating, ceramic auto body part, and other for cross-industry and commercial applications.",Nanotechnology > Nanointermediates > Nanocoating > Self Cleaning,,,,,New Customer Services,Vessel Services,Vessel surface protection,Yes,,,2012,1-10,USA,,Global,No,Unfunded,,,,Nascent,,3,Hazel,Yes,TRUE,,FALSE,"Infrastructure, Vessel & Asset efficiency",Equipment Management,Old,Decarb,cars,0.5,0,1,0.35,Nascent,,,,,25363,dave@pearlnano.com,http://linkedin.com/in/davidwelliott
Voyager Worldwide,Startup,,Maritime,https://voyagerww.com/,Provider of vessel navigation and shipping management systems,,,,,,New Customer Services,Customer Lifecycle Management,,,Route Optimisation (merged with Vessel Tracking),Bunker Planning,2012,51-200,Germany,,Europe,Yes,Undisclosed,,,,Nascent,,,Miles,,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,49501,,
W Green Pay,Startup,Carbon credit platform based on Stellar blockchain,Consumer,https://www.wpay.sg,"W Green Pay (WGP) is a Stellar-compliant token operating on the Stellar blockchain. Aims at increasing the public’s participation in GHG (Greenhouse Gas) reduction. WGP is the reward method for HOOXI app of W-Foundation. The user needs to create an account on Hooxi app and perform activities like predefined missions such as taking the public transport, reducing electricity usage or purchasing identified eco-products which will reward them WGP which can be used for cryptocurrency exchange, can be stored in the Stellar wallet, credit card payback system and e-commerce.",,,,,,Decarbonisation,Emission Trading & Offsetting,Energy platform,,Emissions trading,Emissions Trading,2012,1-10,South Korea,Seoul,Global,Yes,Undisclosed,,,,Nascent,,,,,TRUE,,FALSE,"Carbon CS, offsetting & trading",CO2 Trading/Offsetting/Exchange,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,23293,,
